id,authors,title,average_rating,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url
6272,Martin Heidegger,Being and Time,3.99,547,919,2995,4666,6374,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6273,Ernest Hemingway,In Our Time,3.8,311,1086,4413,5878,4322,https://images.gr-assets.com/books/1369859426m/4652.jpg
6274,Jonathan Kozol,Savage Inequalities: Children in America's Schools,4.23,109,326,2000,5310,6254,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6275,Charlie Higson,"The Enemy (The Enemy, #1)",4.08,380,858,3124,6146,7413,https://images.gr-assets.com/books/1340819657m/6605625.jpg
6276,Jeffrey Archer,As the Crow Flies,4.05,131,569,3282,6349,5689,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6277,Jeffery Deaver,"The Empty Chair (Lincoln Rhyme, #3)",4.06,93,494,3935,8079,6299,https://images.gr-assets.com/books/1336331745m/142540.jpg
6278,Daphne du Maurier,Jamaica Inn,3.85,252,1163,5444,8349,5349,https://images.gr-assets.com/books/1386605082m/18869967.jpg
6279,Kenneth Oppel,"Airborn (Matt Cruse, #1)",4.16,311,600,3266,7246,8691,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6280,Thomas Tryon,The Other,3.99,285,780,3690,5931,5984,https://images.gr-assets.com/books/1326661013m/219535.jpg
6281,Daniel Silva,"The English Spy (Gabriel Allon, #15)",4.16,205,473,2345,6513,6509,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6282,"Colin Meloy, Carson Ellis","Wildwood (Wildwood Chronicles, #1)",3.63,835,2005,5678,6933,4754,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6283,Ian McEwan,The Cement Garden,3.57,629,1845,5691,6733,3403,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6284,"Margaret Weis, Tracy Hickman","Serpent Mage (The Death Gate Cycle, #4)",4.06,121,672,3857,6839,6562,https://images.gr-assets.com/books/1327837018m/28507.jpg
6285,Daniel Tammet,Born on a Blue Day: Inside the Extraordinary Mind of an Autistic Savant,3.84,186,946,4355,6421,4184,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6286,Rachel Van Dyken,"The Bet (The Bet, #1)",3.85,712,1941,6701,10604,8358,https://images.gr-assets.com/books/1362593639m/17560674.jpg
6287,Conor Grennan,Little Princes: One Man's Promise to Bring Home the Lost Children of Nepal,4.25,144,378,2121,5861,7330,https://images.gr-assets.com/books/1279553857m/8564644.jpg
6288,Kaui Hart Hemmings,The Descendants,3.82,191,951,4565,8062,3881,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6289,Colleen Hoover,Too Late,4.03,572,1233,3654,6596,8404,https://images.gr-assets.com/books/1459520906m/29610595.jpg
6290,"Natsumi Ando, Miyuki Kobayashi","Kitchen Princess, Vol. 01 (Kitchen Princess, #1)",4.16,463,899,2712,3713,8531,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6291,Irving Stone,Lust for Life,4.19,217,489,2422,5528,7102,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6292,Faith Hunter,"Skinwalker (Jane Yellowrock, #1)",3.89,758,1549,5741,9218,8265,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6293,Mary Kay Andrews,Hissy Fit,3.96,230,792,4359,6793,5849,https://images.gr-assets.com/books/1355940330m/648194.jpg
6294,"James Patterson, Mark T. Sullivan",Private Games (Private #3),3.83,380,1104,4640,6527,4927,https://images.gr-assets.com/books/1498199246m/11343348.jpg
6295,Craig Johnson,"The Cold Dish (Walt Longmire, #1)",4.14,178,470,2763,7978,6720,https://images.gr-assets.com/books/1398028367m/109901.jpg
6296,Sherwood Smith,Crown Duel (Crown & Court #1-2),4.19,336,827,3327,5927,9783,https://images.gr-assets.com/books/1360507771m/21060.jpg
6297,"Victoria Kann, Elizabeth Kann",Pinkalicious,4.05,479,1050,3219,4286,7625,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6298,"Pablo Neruda, Ilan Stavans",The Poetry of Pablo Neruda,4.44,94,223,1386,4373,8622,https://images.gr-assets.com/books/1417605511m/5936.jpg
6299,Tracy Chevalier,Falling Angels,3.55,395,2050,7071,6992,3423,https://images.gr-assets.com/books/1327995250m/2872.jpg
6300,Madeleine Wickham,Sleeping Arrangements,3.24,1124,3237,6712,4425,2687,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6301,Ilsa J. Bick,"Ashes (Ashes Trilogy, #1)",3.94,616,1295,4601,7735,7690,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6302,"Jane Austen, Robert William Chapman",Lady Susan,3.56,375,2061,7667,7108,3758,https://images.gr-assets.com/books/1328864949m/91582.jpg
6303,Tillie Cole,"Sweet Home (Sweet Home, #1)",4.05,958,1568,4659,9524,12066,https://images.gr-assets.com/books/1376473414m/18105011.jpg
6304,Mary Higgins Clark,Remember Me,3.91,93,714,5398,7045,5354,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6305,"Julee Rosso, Sheila Lukins, Michael McLaughlin",The Silver Palate Cookbook,4.06,323,718,2986,5186,6387,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6306,Sidney Sheldon,Memories of Midnight,3.68,245,1217,5043,5179,3399,https://images.gr-assets.com/books/1501701194m/106648.jpg
6307,Keri Hulme,The Bone People,4.06,438,890,2762,5446,6836,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6308,"Michelle Paver, Geoff Taylor","Wolf Brother (Chronicles of Ancient Darkness, #1)",4.15,247,684,3136,6070,7941,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6309,Brian  McClellan,"The Crimson Campaign (Powder Mage, #2)",4.35,59,198,1608,6973,8234,https://images.gr-assets.com/books/1363102695m/17608111.jpg
6310,Gavin Extence,The Universe Versus Alex Woods,4.08,190,583,2915,7045,5997,https://images.gr-assets.com/books/1352436020m/15984268.jpg
6311,Marguerite Henry,"Stormy, Misty's Foal (Misty, #3)",4.06,104,603,4295,5885,6951,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6312,"Tsugumi Ohba, Takeshi Obata, Diana Hammermeister","Bakuman, Band 1: Traum und Realität",4.18,350,689,2464,4389,7790,https://images.gr-assets.com/books/1346333264m/6735082.jpg
6313,Susan Elizabeth Phillips,"Heaven, Texas (Chicago Stars, #2)",4.08,294,1026,4983,9528,9953,https://images.gr-assets.com/books/1308646849m/73084.jpg
6314,Agatha Christie,"The Murder on the Links (Hercule Poirot, #2)",3.8,142,1100,7653,9666,5439,https://images.gr-assets.com/books/1384562979m/639787.jpg
6315,J.G. Ballard,High-Rise,3.68,433,1480,4447,6305,3491,https://images.gr-assets.com/books/1358752559m/12331767.jpg
6316,"Friedrich Nietzsche, H.L. Mencken",The Anti-Christ,3.91,309,906,3407,5414,4867,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6317,Lawrence Wright,The Looming Tower: Al-Qaeda and the Road to 9/11,4.38,60,198,1486,5496,7777,https://images.gr-assets.com/books/1320471617m/110890.jpg
6318,Robert A. Heinlein,The Cat Who Walks Through Walls (The World As Myth),3.7,454,1584,5372,6668,4317,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6319,"K.R. Dwyer, Dean Koontz",Shattered,3.87,207,956,5042,5849,5371,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6320,Charles Bukowski,Hollywood,3.78,166,904,4410,5842,3447,https://images.gr-assets.com/books/1361998529m/38505.jpg
6321,Jeff Lindsay,"Dexter By Design (Dexter, #4)",3.72,262,1334,6043,7072,4226,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6322,John Irving,A Son of the Circus,3.61,517,1560,5199,5799,3418,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6323,Stephen King,Apt Pupil,3.83,254,1097,5011,6928,4909,https://images.gr-assets.com/books/1330222469m/10618.jpg
6324,Sidney Sheldon,"Morning, Noon & Night",3.62,255,1355,4811,4639,2976,https://images.gr-assets.com/books/1344267638m/84052.jpg
6325,J.D. Robb,"Memory in Death (In Death, #22)",4.31,62,286,3001,7654,10494,https://images.gr-assets.com/books/1299457743m/238141.jpg
6326,Virginia Woolf,The Waves,4.14,438,980,3013,5515,8963,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6327,Jeffrey Toobin,The Nine: Inside the Secret World of the Supreme Court,4.06,98,350,2352,6628,4232,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6328,Sarah Jio,The Violets of March,3.8,401,1411,4916,7566,5012,https://images.gr-assets.com/books/1299776782m/9724798.jpg
6329,"Kyung-Sook Shin, 신경숙, Chi-Young Kim",Please Look After Mom,3.76,451,1389,4635,6721,4543,https://images.gr-assets.com/books/1320413213m/8574333.jpg
6330,David Eddings,"The Shining Ones (The Tamuli, #2)",3.95,168,1035,5125,6920,6608,https://images.gr-assets.com/books/1403187182m/243298.jpg
6331,"Brian Michael Bendis, Olivier Coipel, Tim Townsend, Rick Magyar, John Dell, Scott Hanna, Frank D'Armata, Chris Eliopoulos, James Taveras, Omar Otieku, Tom Valente, Esad Ribic",House of M,3.97,276,923,3357,5456,5624,https://images.gr-assets.com/books/1409502209m/105973.jpg
6332,Heather Brewer,"Tenth Grade Bleeds (The Chronicles of Vladimir Tod, #3)",4.24,201,607,3045,5261,9396,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6333,Leon Uris,Trinity,4.23,124,453,2625,6009,7727,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6334,Dr. Seuss,The Cat in the Hat Comes Back,3.83,517,1886,6324,6309,7676,https://images.gr-assets.com/books/1332799738m/667234.jpg
6335,Peter Carey,Oscar and Lucinda,3.72,601,1437,4298,5968,4335,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6336,Alexander McCall Smith,"The Good Husband of Zebra Drive (No. 1 Ladies' Detective Agency, #8)",4.06,39,333,4263,9242,6341,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6337,"Booker T. Washington, Ishmael Reed",Up from Slavery,4.09,265,743,3431,5818,7268,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6338,Daniel Silva,"The Secret Servant (Gabriel Allon, #7)",4.25,78,231,2271,7034,7146,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6339,Laura Kaye,"Hearts in Darkness (Hearts in Darkness, #1)",3.86,641,2276,7991,11836,10028,https://images.gr-assets.com/books/1306632316m/11201007.jpg
6340,Lois McMaster Bujold,"Shards of Honour  (Vorkosigan Saga, #1)",4.13,176,755,3820,7916,8534,https://images.gr-assets.com/books/1392767899m/61903.jpg
6341,"René Goscinny, Albert Uderzo, Anthea Bell, Derek Hockridge","Asterix the Gaul (Asterix, #1)",4.18,150,499,3061,6054,7704,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6342,Jan Karon,"A Light in the Window (Mitford Years, #2)",4.23,85,367,2974,7008,8228,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6343,Jessica Sorensen,"The Forever of Ella and Micha (The Secret, #2)",4.1,255,938,4997,10677,10451,https://images.gr-assets.com/books/1363575595m/16055475.jpg
6344,Lisa Gardner,"Say Goodbye (Quincy & Rainie, #6)",4.12,147,509,3292,6945,6839,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6345,Gertrude Crampton,Scuffy the Tugboat (Big Little Golden Book),4.11,198,772,4100,4444,8236,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6346,Erin Hunter,"Dawn (Warriors: The New Prophecy, #3)",4.31,148,626,3130,5591,11231,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6347,Mercer Mayer,Just Me and My Dad (Little Critter),4.19,207,614,3128,4293,8114,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6348,Robert Fulghum,All I Really Need to Know I Learned in Kindergarten,4.03,229,843,3655,5992,6508,https://images.gr-assets.com/books/1403541609m/34760.jpg
6349,Matthew Reilly,Temple,4.04,254,726,3221,5765,6061,https://images.gr-assets.com/books/1312054860m/144792.jpg
6350,"Dave Barry, Ridley Pearson, Greg Call","Peter and the Secret of Rundoon (Peter and the Starcatchers, #3)",4.16,246,522,3476,6702,8353,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6351,Sarah Macdonald,Holy Cow: An Indian Adventure,3.51,674,1599,4467,4672,2793,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6352,Tess Gerritsen,"Last to Die (Rizzoli & Isles, #10)",4.1,97,530,3739,8645,7087,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6353,China Miéville,Kraken,3.6,724,1907,5291,6969,3828,https://images.gr-assets.com/books/1320551670m/6931246.jpg
6354,Jean-Paul Sartre,The Wall,4.07,156,524,3031,6228,5623,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6355,Lisa Jewell,The House We Grew Up In,3.88,230,710,3578,7105,3868,https://images.gr-assets.com/books/1407719574m/18764826.jpg
6356,George R.R. Martin,"A Dance with Dragons: Dreams and Dust (A Song of Ice and Fire #5, Part 1 of 2)",4.32,63,257,2116,6372,8287,https://images.gr-assets.com/books/1331401651m/13337715.jpg
6357,Brad Thor,"Full Black (Scot Harvath, #10)",4.26,142,350,2084,5510,7134,https://images.gr-assets.com/books/1393773645m/10517947.jpg
6358,Helen Bryan,The Sisterhood,3.75,601,1345,4493,6037,4659,https://images.gr-assets.com/books/1371249679m/17989312.jpg
6359,Enid Blyton,"Five on a Treasure Island (Famous Five, #1)",4.06,179,651,4031,6533,6987,https://images.gr-assets.com/books/1408926754m/17488.jpg
6360,Elin Hilderbrand,Summer People,3.93,126,649,4124,6239,4654,https://images.gr-assets.com/books/1317063942m/675905.jpg
6361,Bill Watterson,There's Treasure Everywhere: A Calvin and Hobbes Collection,4.74,22,69,680,2822,13692,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6362,"Yoko Kamio, 神尾葉子","Boys Over Flowers: Hana Yori Dango, Vol. 1 (Boys Over Flowers, #1)",4.12,509,860,2398,3330,7309,https://images.gr-assets.com/books/1357464446m/282425.jpg
6363,Steven Levy,"In the Plex: How Google Thinks, Works, and Shapes Our Lives",3.83,869,1182,4142,7383,5899,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6364,Kazuo Ishiguro,When We Were Orphans,3.45,436,2011,6325,6023,2223,https://images.gr-assets.com/books/1465820100m/28923.jpg
6365,Linda Kage,"Price of a Kiss (Forbidden Men, #1)",4.1,437,1062,4710,9988,10706,https://images.gr-assets.com/books/1375792540m/17833099.jpg
6366,David Small,Stitches,4.03,358,824,3450,7383,6763,https://images.gr-assets.com/books/1327728261m/6407014.jpg
6367,Ellis Avery,The Last Nude,3.77,763,1230,3226,3256,4938,https://images.gr-assets.com/books/1305496356m/10836810.jpg
6368,Tamora Pierce,"Daja's Book (Circle of Magic, #3)",4.06,128,882,5377,8568,9038,https://images.gr-assets.com/books/1328860149m/58894.jpg
6369,Anne McCaffrey,"All the Weyrs of Pern (Pern, #11)",4.15,70,556,4117,7409,8444,https://images.gr-assets.com/books/1322034004m/61926.jpg
6370,Jamie McGuire,"Beautiful Sacrifice (The Maddox Brothers, #3)",4.08,439,1143,3981,7495,9343,https://images.gr-assets.com/books/1429578280m/23714532.jpg
6371,Naomi Novik,"Black Powder War (Temeraire, #3)",3.9,93,841,5605,9173,5370,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6372,Julie Garwood,"Heartbreaker (Buchanan-Renard, #1)",4.02,292,891,4433,7784,7456,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6373,David Shannon,David Goes To School,4.16,437,811,2689,3725,8091,https://images.gr-assets.com/books/1360057930m/839263.jpg
6374,Tamora Pierce,"Briar's Book (Circle of Magic, #4)",4.14,140,784,4797,8442,10203,https://images.gr-assets.com/books/1481568171m/58893.jpg
6375,Colleen McCullough,"The First Man in Rome (Masters of Rome, #1)",4.08,409,827,2758,5573,7040,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6376,John Connolly,"Every Dead Thing (Charlie Parker, #1)",4.01,332,803,3323,6036,6124,https://images.gr-assets.com/books/1393929687m/175242.jpg
6377,Daniel Silva,"The Confessor (Gabriel Allon, #3)",4.14,75,298,2829,7494,6021,https://images.gr-assets.com/books/1341575498m/93801.jpg
6378,"Tomoko Hayakawa, David Ury","The Wallflower, Vol. 1 (The Wallflower, #1)",4.15,494,869,2730,4101,8351,https://images.gr-assets.com/books/1320462572m/217376.jpg
6379,"Robert Kirkman, Jay Bonansinga",Rise of the Governor (The Walking Dead #1),3.9,269,1003,3740,6082,5002,https://images.gr-assets.com/books/1366212058m/10869746.jpg
6380,R.A. Salvatore,"The Thousand Orcs (Forgotten Realms: Hunter's Blades, #1; Legend of Drizzt, #14)",4.08,164,675,3105,5244,6165,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6381,Anna Quindlen,Miller's Valley,3.89,242,679,3757,7489,4072,https://images.gr-assets.com/books/1447962407m/26131641.jpg
6382,Jerzy Kosiński,The Painted Bird,3.94,470,972,3160,5795,5584,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6383,Maeve Binchy,The Glass Lake,3.89,131,770,4905,7090,4945,https://images.gr-assets.com/books/1342485933m/34310.jpg
6384,Jonathan Haidt,The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom,4.12,247,597,2434,5053,6064,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6385,Edgar Allan Poe,The Masque of the Red Death,4.08,186,802,3967,7543,7840,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6386,Peter F. Hamilton,The Evolutionary Void,4.25,89,310,2114,6120,6976,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6387,L.J. Smith,"The Forbidden Game (The Forbidden Game, #1-3)",4.19,344,968,3232,5132,9829,https://images.gr-assets.com/books/1405784030m/7100490.jpg
6388,Elizabeth Scott,Perfect You,3.7,703,2022,6104,6172,5945,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6389,Toni Morrison,Jazz,3.78,319,1174,4835,6210,4443,https://images.gr-assets.com/books/1317531331m/37398.jpg
6390,Benjamin Hoff,The Te of Piglet,3.81,349,1261,3907,4881,4641,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6391,Cecily von Ziegesar,"You're the One That I Want (Gossip Girl, #6)",3.71,473,1616,5342,4516,5076,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6392,"Ilya Ilf, Eugene Petrov, Maurice Friedberg, John H.C. Richardson",The Twelve Chairs,4.42,141,381,1606,3952,9161,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
